data,hora,natureza,bairro,endereco,num_semaforo,sentido_via,tipo,auto,moto,ciclom,ciclista,pedestre,onibus,caminhao,viatura,outros,vitimas,vitimasfatais,acidente_verificado,tempo_clima,sinalizacao,condicao_via,conservacao_via,situacao_placa,velocidade_max_via,mao_direcao,divisao_via1
2023-01-01 00:00:00,03:37:00,COM VÍTIMA,MADALENA,AV ENGENHEIRO ABDIAS DE CARVALHO,,CIDADE,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,
2023-01-01 00:00:00,08:28:00,COM VÍTIMA,BONGI,AV ENGENHEIRO ABDIAS DE CARVALHO,,SUBURBIO,COLISÃO LATERAL,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,
2023-01-01 00:00:00,10:39:00,COM VÍTIMA,JAQUEIRA,RUA MUNIZ TAVARES,460,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-01 00:00:00,12:41:00,SEM VÍTIMA,BOA VIAGEM,AV BOA VIAGEM,,,COLISÃO TRASEIRA,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-01 00:00:00,03:44:00,COM VÍTIMA,BOA VIAGEM,AV ENGENHEIRO DOMINGOS FERREIRA,,,ATROPELAMENTO DE PESSOA,1,0,0,0,1,0,0,0,0,1,0,,,,,,,,,
2023-01-01 00:00:00,04:35:00,COM VÍTIMA,SAN MARTIN,AV GENERAL SAN MARTIN,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-01 00:00:00,05:34:00,SEM VÍTIMA,PINA,AVENIDA CELSO FURTADO (VIA MANGUE),,CIDADE,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-01 00:00:00,08:07:00,SEM VÍTIMA,IPUTINGA,RUA SAO MATEUS,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-02 00:00:00,05:34:00,COM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,310,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-02 00:00:00,06:04:00,COM VÍTIMA,BOA VIAGEM,AV ARMINDO MOURA,529,SUBURBIO,COLISÃO LATERAL,0,1,0,0,0,0,0,0,1,2,0,,,,,,,,,
2023-01-03 00:00:00,08:06:00,SEM VÍTIMA,DERBY,RUA JENER DE SOUZA,,,CHOQUE,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-03 00:00:00,08:55:00,COM VÍTIMA,AFOGADOS,RUA SAO MIGUEL,,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-03 00:00:00,09:29:00,COM VÍTIMA,BOA VIAGEM,RUA SETUBAL,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-03 00:00:00,01:36:00,COM VÍTIMA,IPSEP,AV RECIFE,16,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,2,0,,,,,,,,,
2023-01-03 00:00:00,02:16:00,COM VÍTIMA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,549,CIDADE,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-03 00:00:00,04:10:00,SEM VÍTIMA,,AV BRASILIA FORMOSA,,SUBURBIO,COLISÃO TRANSVERSAL,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-03 00:00:00,05:39:00,COM VÍTIMA,ESTÂNCIA,AV RECIFE,,SUBURBIO,COLISÃO COM CICLISTA,0,1,0,1,0,0,0,0,0,1,0,,,,,,,,,
2023-01-03 00:00:00,07:29:00,SEM VÍTIMA,IMBIRIBEIRA,AV MARECHAL MASCARENHAS DE MORAES,,CIDADE,COLISÃO FRONTAL,0,0,0,0,0,1,1,0,0,0,0,,,,,,,,,
2023-01-03 00:00:00,10:20:00,COM VÍTIMA,SÃO JOSÉ,RUA IMPERIAL,,,COLISÃO FRONTAL,2,0,0,0,0,0,0,0,0,2,0,,,,,,,,,
2023-01-03 00:00:00,11:01:00,SEM VÍTIMA,IBURA,AV SANTA FE,,,COLISÃO TRANSVERSAL,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,
2023-01-04 00:00:00,06:12:00,SEM VÍTIMA,TEJIPIÓ,AV DR JOSE RUFINO,,,COLISÃO TRASEIRA,1,0,0,0,0,0,1,0,0,0,0,,,,,,,,,
2023-01-04 00:00:00,08:00:00,COM VÍTIMA,ESTÂNCIA,AV RECIFE,705,,COLISÃO FRONTAL,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,
2023-01-04 00:00:00,08:54:00,COM VÍTIMA,VÁRZEA,AV CAXANGA,232,CIDADE,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,3,0,,,,,,,,,
2023-01-04 00:00:00,09:46:00,COM VÍTIMA,TORRE,RUA MARQUES DE MARICA,,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-04 00:00:00,01:54:00,COM VÍTIMA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,,QUEDA,0,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-04 00:00:00,02:13:00,COM VÍTIMA,JOANA BEZERRA,VIADUTO CAPITAO TEMUDO,,,COLISÃO TRASEIRA,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-05 00:00:00,06:55:00,COM VÍTIMA,SANTO AMARO,AV JOAO DE BARROS,406,SUBURBIO,COLISÃO TRASEIRA,0,2,0,0,0,0,0,0,0,2,0,,,,,,,,,
2023-01-05 00:00:00,07:44:00,COM VÍTIMA,BOA VIAGEM,AVENIDA CELSO FURTADO (VIA MANGUE),,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-05 00:00:00,01:11:00,COM VÍTIMA,BOA VIAGEM,AV CONSELHEIRO AGUIAR,,,COLISÃO LATERAL,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,
2023-01-05 00:00:00,04:15:00,COM VÍTIMA,IBURA,RUA DR OTAVIO DE MORAES VASCONCELOS,,,COLISÃO FRONTAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-05 00:00:00,04:26:00,COM VÍTIMA,TORRÕES,AV ENGENHEIRO ABDIAS DE CARVALHO,,SUBURBIO,COLISÃO COM CICLISTA,0,0,0,1,0,1,0,0,0,1,0,,,,,,,,,
2023-01-05 00:00:00,12:00:00,COM VÍTIMA,MANGUEIRA,RUA SAO MIGUEL,,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-05 00:00:00,05:13:00,COM VÍTIMA,MANGUEIRA,RUA SAO MIGUEL,425,CIDADE,COLISÃO TRANSVERSAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-06 00:00:00,07:32:00,COM VÍTIMA,GRAÇAS,AV RUI BARBOSA,305,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-06 00:00:00,08:57:00,VÍTIMA FATAL,CORDEIRO,AV GENERAL SAN MARTIN,,SUBURBIO,ATROPELAMENTO DE PESSOA,0,1,0,0,1,0,0,0,0,0,1,,,,,,,,,
2023-01-06 00:00:00,10:22:00,COM VÍTIMA,SANCHO,AV LIBERDADE,,CIDADE,ATROPELAMENTO DE PESSOA,0,1,0,0,1,0,0,0,0,1,0,,,,,,,,,
2023-01-06 00:00:00,11:20:00,COM VÍTIMA,CASA AMARELA,RUA DA HARMONIA,,CIDADE,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-06 00:00:00,11:34:00,COM VÍTIMA,IMBIRIBEIRA,RUA ITACARI,,SUBURBIO,COLISÃO LATERAL,1,1,0,0,0,0,0,0,0,1,0,,,,,,,,,
2023-01-06 00:00:00,12:53:00,SEM VÍTIMA,IPSEP,RUA ABDIAS CABRAL DE MOURA,,,COLISÃO TRANSVERSAL,0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,
2023-01-06 00:00:00,01:49:00,COM VÍTIMA,BOA VIAGEM,RUA VISCONDE DE JEQUITINHONHA,,SUBURBIO,COLISÃO COM CICLISTA,0,0,0,1,0,1,0,0,0,1,0,,,,,,,,,
